title,slug,parent_post_id,earliest_media_date,original_page,image_urls,review_text_present
"Uncle Frank","uncle-frank",148,"2020-11-30 22:13:41","https://kostovsolutions.com/recommended/uncle-frank/","https://kostovsolutions.com/wp-content/uploads/2020/11/81fZOuoR9AL._RI_-e1606776073396.jpg",false
"On the Rocks","on-the-rocks",313,"2020-12-05 12:13:46","https://kostovsolutions.com/recommended/on-the-rocks/","https://kostovsolutions.com/wp-content/uploads/2020/12/On_the_Rocks_poster.jpeg; https://kostovsolutions.com/wp-content/uploads/2020/12/on-the-rocks-sofia-coppola-movie-1597846126.jpg",false
"Another Round","another-round",333,"2020-12-20 18:30:17","https://kostovsolutions.com/recommended/another-round/","https://kostovsolutions.com/wp-content/uploads/2020/12/AnotherRound-e1608489037724.jpg; https://kostovsolutions.com/wp-content/uploads/2020/12/AnotherRound-1.jpg",false
"Boss Level","boss-level",345,"2020-12-26 20:10:09","https://kostovsolutions.com/recommended/boss-level/","https://kostovsolutions.com/wp-content/uploads/2020/12/BossLevel.jpg; https://kostovsolutions.com/wp-content/uploads/2020/12/BossLevel-1-e1609013579498.jpg",false
"Soul","soul",408,"2021-01-04 10:53:19","https://kostovsolutions.com/recommended/soul/","https://kostovsolutions.com/wp-content/uploads/2021/01/Soul2.jpeg; https://kostovsolutions.com/wp-content/uploads/2021/01/Soul.jpeg",false
"Dances with Wolves","dances-with-wolves",361,"2021-01-10 12:45:38","https://kostovsolutions.com/recommended/dances-with-wolves/","https://kostovsolutions.com/wp-content/uploads/2021/01/Dances-with-wolves-2.jpg; https://kostovsolutions.com/wp-content/uploads/2021/01/Dances-with-wolves.jpg",false
"Promising Young Woman","promising-young-woman",373,"2021-01-31 13:50:00","https://kostovsolutions.com/recommended/promising-young-woman/","https://kostovsolutions.com/wp-content/uploads/2021/01/PromisingYoungWoman-2.jpg; https://kostovsolutions.com/wp-content/uploads/2021/01/PromisingYoungWoman-1.jpg",false
"Seaspiracy and My Octopus Teacher","seaspiracy-and-my-octopus-teacher",398,"2021-04-22 16:27:22","https://kostovsolutions.com/recommended/seaspiracy-and-my-octopus-teacher/","https://kostovsolutions.com/wp-content/uploads/2021/04/Seaspiracy-1.jpg; https://kostovsolutions.com/wp-content/uploads/2021/04/OctopusTeacher.jpg",false
